User_id,Product_id,Rating
270,65630,3
270,4351,3
270,1597,3
270,1603,3
270,883,3
270,7017,3
270,45818,3
270,34704,3
270,65631,3
270,10434,3
270,19422,3
270,124,3
270,9391,3
270,22484,3
270,2549,3
270,56606,3
270,15067,3
270,65632,3
270,3241,3
270,27747,3
270,65633,3
270,65634,3
270,1621,3
270,8919,3
270,65635,3
270,65636,3
270,26544,3
270,1668,3
270,5119,3
270,65637,3
270,2863,3
270,7476,3
270,8331,3
270,200,3
270,2471,3
270,1662,3
270,1616,3
270,1106,3
270,65638,3
270,65639,3
270,65640,3
270,1134,3
270,898,3
270,650,3
270,65641,3
270,2747,3
270,65642,3
270,23942,3
270,54315,3
270,65643,3
270,1749,3
270,3463,3
270,9258,3
270,4970,3
270,12289,2
270,31189,3
270,51871,3
270,45495,3
270,1541,3
270,1478,3
270,65644,3
270,4852,3
270,777,3
270,65645,3
270,31931,3
270,924,3
270,1099,3
270,2554,3
270,19449,3
270,65646,3
270,4178,3
270,1682,3
270,49165,3
270,3432,3
270,65647,3
270,65648,3
270,381,3
270,26215,3
270,2408,3
270,572,3
270,7557,3
270,1883,3
270,65649,3
270,22801,3
270,908,3
270,612,3
270,779,3
270,51680,3
270,36712,3
270,1945,3
270,5218,3
270,54329,3
270,6843,3
270,65650,3
270,8523,3
270,59390,3
1177,8214,3
1177,19145,3
1177,1597,3
1177,11058,3
1177,8214,3
1177,1848,3
1177,1647,3
1177,1297,3
1177,20196,3
1177,422,3
1177,20197,3
1177,7332,3
1177,20198,3
1177,1662,3
1177,3231,3
1177,577,3
1177,1675,3
1177,8921,3
1177,497,3
1177,1236,3
1177,1380,3
1177,1806,3
1177,1236,3
1177,47,3
1177,1206,3
1177,9169,3
1177,8917,3
1177,6375,3
1177,898,3
1177,935,3
1177,1028,3
1177,938,3
1177,947,3
1177,6027,3
1177,908,3
1177,955,3
1177,1032,3
1177,2424,3
1177,914,3
1177,1696,3
1177,892,3
1177,942,3
1177,16120,3
1177,20199,3
1177,11865,3
1177,1411,3
1177,2239,3
1177,1523,3
1177,13930,3
1177,8679,3
1177,1134,3
1177,5567,3
1177,9263,3
1177,7989,3
1177,1158,3
1177,590,3
1177,1235,3
1177,3331,3
1177,493,3
1177,937,3
1177,1040,3
1177,20200,3
1177,5587,3
1177,7316,3
1177,2110,3
1177,2351,3
1177,3474,3
1177,1448,3
1176,20133,2
1176,20134,3
1176,20135,3
1176,20136,3
1176,20137,3
1176,20138,3
1176,20139,3
1176,20140,3
1176,20141,3
1176,20142,3
1176,862,3
1176,2761,3
1176,15,3
1176,20143,3
1176,20144,3
1176,18980,3
1176,20145,3
1176,4938,3
1176,20146,3
1176,20147,3
1176,20148,3
1176,20149,3
1176,20150,3
1176,20151,3
1176,20152,3
1176,20153,3
1176,20154,2
1176,12846,3
1176,20155,3
1176,422,3
1176,20156,3
1176,6221,3
1176,20157,3
1176,20158,3
1176,20159,3
1176,15,3
1176,120,3
1176,20143,3
1176,20160,3
1176,18198,3
1176,20161,3
1176,20162,3
1176,425,3
1176,16591,3
1176,14,3
1176,20163,3
1176,20164,2
1176,10218,3
1176,9467,3
1176,1889,3
1176,862,3
1176,862,3
1176,20165,3
1176,862,3
1176,862,3
1176,862,3
1176,3691,2
1176,6499,3
1176,862,3
1176,862,3
1176,20166,3
1176,20167,3
1175,20008,2
1175,422,3
1175,7260,3
1175,19431,3
1175,464,3
1175,1668,3
1175,1667,3
1175,2484,3
1175,2484,3
1175,20009,2
1175,891,3
1175,1674,3
1175,744,3
1175,11071,2
1175,464,3
1175,2484,3
1175,10244,3
1175,885,2
1175,464,3
1175,20010,2
1175,20011,2
1175,20012,2
1175,20013,3
1175,20014,2
1175,897,3
1175,20015,2
1174,9546,3
1174,19908,3
1174,9465,3
1174,3801,3
1174,19385,3
1174,19909,3
1174,6556,3
1174,15,3
1174,4357,3
1174,19910,3
1174,19911,3
1174,6659,3
1174,801,3
1174,19912,3
1174,19913,3
1174,19914,3
1174,800,3
1174,19915,3
1174,7287,3
1174,18695,3
1174,15,3
1174,6493,3
1174,5932,3
1174,19916,3
1174,19917,3
1174,19918,3
1174,19919,3
1174,19920,3
1174,19921,3
1174,2199,3
1174,2380,3
1174,464,3
1174,124,3
1174,19922,3
1174,6500,3
1174,13763,3
1174,15080,3
1174,19923,3
1174,19924,3
1174,2377,3
1174,120,3
1174,19925,3
1174,1748,3
1174,3588,3
1174,19926,3
1174,806,3
1174,19927,3
1174,3334,3
1174,19576,3
1174,19928,3
1174,19929,3
1174,19930,3
1174,19931,3
1174,19932,3
1174,19933,3
1174,425,3
1174,168,3
1174,3588,3
1174,7753,3
1174,806,3
1174,571,3
1174,1876,3
1174,19934,3
1174,2377,3
1174,8114,3
1174,1761,3
1174,4315,3
1174,510,3
1174,19935,3
1174,3023,3
1174,2343,3
1174,19936,3
1174,19937,3
1174,4287,3
1174,15,3
1174,464,3
1174,19938,3
1174,4315,3
1174,577,3
1174,3680,3
1174,2803,3
1174,1470,3
1174,4275,3
1174,8138,3
1174,124,3
1174,5971,3
1174,177,3
1174,9056,3
1174,18099,3
1174,7017,3
1174,4896,3
1174,6498,3
1174,3903,3
1174,18246,3
1174,772,3
1174,2431,3
1174,2431,3
1174,2432,3
1174,6500,3
1174,124,3
1174,572,3
1174,14,3
1174,9138,3
1174,690,3
1174,2197,3
1174,2141,3
1174,708,3
1174,19939,3
1174,19940,3
1174,708,3
1174,708,3
1174,142,3
1174,124,3
1174,8121,3
1174,6379,3
1174,690,3
1174,571,3
1174,577,3
1174,816,3
1174,7644,3
1174,19941,3
1174,19942,3
1174,19943,3
1174,15,3
1174,2794,3
1174,15144,3
1174,19944,3
1174,12262,3
1174,14690,3
1174,19024,3
1174,5312,3
1174,8648,3
1174,2385,3
1174,9079,2
1174,19945,3
1174,8050,3
1174,19946,3
1173,16086,3
1173,14639,3
1173,14374,3
1173,16202,3
1173,16201,3
1173,2586,3
1173,16380,3
1173,2490,3
1173,11422,3
1173,10758,3
1173,19843,3
1173,14084,3
1173,2013,3
1173,19844,3
1173,12689,3
1173,5102,3
1173,16363,3
1173,3822,3
1173,1997,3
